val_accuracy,train_accuracy,shape3,shape2,shape1,l2_reg,activation_function,batch_size,learning_rate,epochs
89.13003802,89.35204148,0,770,1000,0.0001,tanh,2048,0.0005,800
88.87051344,90.71134925,0,50,200,0.0001,relu,2048,5.00E-05,300
87.77042627,88.02258968,0,770,1000,0.0101,tanh,256,5.00E-05,800
87.68085837,87.95885444,0,770,1000,0.011,tanh,256,5.00E-05,800
87.36622334,87.64192462,0,770,1000,0,tanh,512,0.001,800
87.08373308,89.58112597,0,50,200,0.0001,relu,2048,2.50E-05,300
87.01254129,88.74831796,0,300,800,0,relu,2048,5.00E-05,300
86.71397567,88.87090087,0,100,200,0.0001,relu,2048,5.00E-05,200
86.1076653,86.49218082,0,770,500,0,tanh,4096,5.00E-05,10
85.97446084,86.26768589,0,771,500,0,tanh,4096,5.00E-05,10
85.84355116,86.0245347,0,770,500,0,tanh,4096,5.00E-05,10
85.7493937,86.0607028,0,771,500,0,tanh,4096,5.00E-05,10
85.63685417,85.68606973,0,771,500,0,tanh,4096,5.00E-05,10
85.48757434,85.87898612,0,770,1000,0.02,tanh,256,5.00E-05,800
85.44623852,85.7555449,0,771,500,0,tanh,4096,5.00E-05,10
85.21427512,86.72069311,0,100,200,0,relu,2048,5.00E-05,200
85.10174155,86.71667576,0,50,300,0.0001,relu,2048,5.00E-05,200
85.09025574,86.64577007,0,100,200,0.001,relu,2048,5.00E-05,200
83.12663436,84.15595293,0,100,200,0,relu,2048,0.0001,200
76.76955462,78.14054489,20,50,200,0.0001,relu,2048,5.00E-05,200
69.40425634,70.03780603,0,50,200,0.0001,relu,2048,0.0001,300
54.26254869,54.03414369,0,25,100,0,relu,1024,0.001,500
